Subject,Condition,Order,Start,k,Trial,x,Response,Reversal,RT
S53,simple,3,lejos,1,5,140,0,1,1.23693972900037
S53,simple,3,lejos,1,6,160,0,0,2.52747171699957
S53,simple,3,lejos,1,7,180,1,2,1.18038198800059
S53,simple,3,lejos,1,8,160,0,3,2.66514866299985
S53,simple,3,lejos,1,9,170,0,0,2.76865802199973
S53,simple,3,lejos,1,10,180,0,0,3.49030516499988
S53,simple,3,lejos,1,11,190,1,4,2.37655600700054
S53,simple,3,lejos,1,12,180,1,0,1.13037691699901
S53,simple,3,lejos,1,13,170,1,0,2.91142825200041
S53,simple,3,lejos,1,14,160,1,0,2.31887279800139
S53,simple,3,lejos,1,15,150,0,5,2.11240429200006
S53,simple,3,lejos,1,16,160,0,0,3.67020365299868
S53,simple,3,lejos,1,17,170,1,6,1.50005152599988
S53,simple,3,lejos,1,18,160,1,0,1.769390079
S53,simple,3,lejos,1,19,150,1,0,2.69936176900046
S53,simple,3,lejos,1,20,140,0,7,1.90342135899846
S53,simple,3,lejos,1,21,150,0,0,1.36483017799947
S53,simple,3,lejos,1,22,160,0,0,2.69562110200059
S53,simple,3,lejos,1,23,170,0,0,1.31305775200053
S53,simple,3,lejos,1,24,180,1,8,0.739834826999868
S53,simple,3,lejos,1,25,170,1,0,0.516583943999649
S53,simple,3,lejos,1,26,160,1,0,0.692926790999991
S53,simple,3,lejos,1,27,150,1,0,0.688367957000082
S53,simple,3,lejos,1,28,140,1,0,0.792815921999136
S53,simple,3,lejos,1,29,130,0,9,1.22985936100122
S53,simple,3,lejos,1,30,140,0,0,1.37638951299959
S53,simple,3,lejos,1,31,150,0,0,1.53193187099896
S53,simple,3,lejos,1,32,160,0,0,2.03806154499944
S53,simple,3,lejos,1,33,170,0,0,3.16594039499978
S53,simple,3,lejos,1,34,180,0,0,3.27636468399942
S53,simple,3,lejos,1,35,190,1,10,1.16964101899976
S53,simple,3,lejos,1,36,180,1,0,2.9791767379993
S53,simple,3,lejos,1,37,170,1,0,0.622225832999902
S53,simple,3,lejos,1,38,160,1,0,0.667501189000177
S53,simple,3,lejos,1,39,150,1,0,3.56022533599935
S53,simple,3,lejos,1,40,140,0,11,3.09107170400057
S53,simple,3,lejos,1,41,150,0,0,1.78095435100113
S53,simple,3,lejos,1,42,160,1,12,0.969507361000069
S53,simple,4,cerca,1,1,20,0,0,2.02541378900059
S53,simple,4,cerca,1,2,40,0,0,1.33220803099903
S53,simple,4,cerca,1,3,60,0,0,1.29879338399951
S53,simple,4,cerca,1,4,80,0,0,2.09646687500026
S53,simple,4,cerca,1,5,100,1,1,3.05373985099868
S53,simple,4,cerca,1,6,80,0,2,1.23016238300079
S53,simple,4,cerca,1,7,100,1,3,2.71208919300079
S53,simple,4,cerca,1,8,90,1,0,1.94939825500114
S53,simple,4,cerca,1,9,80,0,4,0.892067126000256
S53,simple,4,cerca,1,10,90,1,5,1.48152506100087
S53,simple,4,cerca,1,11,80,0,6,1.04641642100069
S53,simple,4,cerca,1,12,90,0,0,2.15014014199915
S53,simple,4,cerca,1,13,100,1,7,1.98691947399857
S53,simple,4,cerca,1,14,90,0,8,1.99744451900006
S53,simple,4,cerca,1,15,100,1,9,1.98504306799987
S53,simple,4,cerca,1,16,90,0,10,1.64027773799899
S53,simple,4,cerca,1,17,100,1,11,0.952949491998879
S53,simple,4,cerca,1,18,90,0,12,1.10957690699979
S54,simple,1,lejos,1,1,220,1,0,1.90950963999967
S54,simple,1,lejos,1,2,200,1,0,1.02457593799954
S54,simple,1,lejos,1,3,180,1,0,0.83349425599954
S54,simple,1,lejos,1,4,160,1,0,0.812714364001295
