Exp,Subject,Condition,PSE,sd,n
1,S25,simple-far,104.655,4.193143212436231,2
1,S25,simple-near,92.68111111111111,5.174450289882891,2
2,S51,dual,144.75,4.9916597106239795,4
2,S51,simple-far,147.57142857142856,0.6060915267313293,2
2,S51,simple-near,120.22222222222223,8.171011693711216,2
2,S52,dual,123.64583333333333,1.780000780274486,4
2,S52,simple-far,125.66666666666667,10.842303978193735,2
2,S52,simple-near,107.75,0.3535533905932738,2
2,S53,dual,147.25,9.17877987534291,4
2,S53,simple-far,146.66666666666669,23.570226039551592,2
2,S53,simple-near,89,4.242640687119285,2
2,S54,dual,133.5,6.757711644237764,4
2,S54,simple-far,139.16666666666669,8.249579113843048,2
2,S54,simple-near,136.77777777777777,1.7284832429004584,2
2,S55,dual,150.5,9.327379053088816,4
2,S55,simple-far,176,24.041630560342615,2
2,S55,simple-near,145.92857142857144,4.343655941574503,2
2,S56,dual,102.25,4.425306015783918,4
2,S56,simple-far,141.5,2.1213203435596424,2
2,S56,simple-near,104,5.656854249492381,2
2,S57,dual,101.25,8.261355820929152,4
2,S57,simple-far,115.5,10.606601717798213,2
2,S57,simple-near,101.88888888888889,5.8139890897560615,2
2,S58,dual,121.6875,12.418693906097104,4
2,S58,simple-far,123.5,13.435028842544403,2
2,S58,simple-near,121.11111111111111,9.42809041582063,2
2,S59,dual,117.5,3,4
2,S59,simple-far,185.71428571428572,NA,1
2,S59,simple-near,104.16666666666666,12.963624321753368,2
2,S60,dual,151.41666666666666,3.8333333333333375,4
2,S60,simple-far,152.5,4.949747468305833,2
2,S60,simple-near,124.61111111111111,24.905872181792844,2
2,S61,dual,91.25,2.6299556396765835,4
2,S61,simple-far,109,4.242640687119285,2
2,S61,simple-near,95.5,2.1213203435596424,2
2,S62,dual,192,4.242640687119285,2
2,S62,simple-far,179.5,6.363961030678928,2
2,S62,simple-near,153,12.727922061357855,2
2,S63,dual,152.44444444444446,30.654989725356756,4
2,S63,simple-far,179.5,6.363961030678928,2
2,S63,simple-near,136.5,9.192388155425117,2
2,S65,dual,99.55555555555556,6.484549538406611,4
2,S65,simple-far,104.44444444444444,NA,1
2,S65,simple-near,96.34920634920636,1.122391716169119,2
2,S66,dual,121.02777777777777,4.966865519260589,4
2,S66,simple-far,115.5,9.192388155425117,2
2,S66,simple-near,98.875,6.894291116568838,2
2,S67,dual,96.25,7.088723439378913,4
2,S67,simple-far,110.5,0.7071067811865476,2
2,S67,simple-near,97.5,3.5355339059327378,2
2,S68,dual,157.5,10.358392553687866,4
2,S68,simple-far,142,2.8284271247461903,2
2,S68,simple-near,121,1.4142135623730951,2
2,S69,dual,164.19444444444446,7.097426067957555,4
2,S69,simple-far,154.5,12.020815280171307,2
2,S69,simple-near,132.77777777777777,10.213764617139018,2
2,S70,dual,140.27777777777777,7.46390491252466,2
2,S70,simple-near,162,41.012193308819754,2
2,S71,dual,123.05555555555556,3.5572912430182515,4
2,S71,simple-far,126,2.8284271247461903,2
2,S71,simple-near,123,5.656854249492381,2
2,S72,dual,163,9.345230512584124,4
2,S72,simple-far,154.5,21.920310216782973,2
2,S72,simple-near,127.88888888888889,28.12713640719822,2
2,S73,dual,126.97222222222223,7.343637541823468,4
2,S73,simple-far,204.44444444444446,7.8567420131838634,2
2,S73,simple-near,193,NA,1
2,S74,dual,142.5,10.63014581273465,4
2,S74,simple-far,159.5,23.33452377915607,2
2,S74,simple-near,108.33333333333334,2.357022603955155,2
2,S75,dual,143.75,4.645786621588784,4
2,S75,simple-far,150.33333333333331,8.956685895029596,2
2,S75,simple-near,105.25,10.253048327204938,2
