Subject,Target,Distance,Trial,Response,RT
S11,3,60.7589445683897,41,0,0.77295695200155
S11,3,60.7589445683897,42,0,0.800777331998688
S11,1,46.0219657443318,43,0,0.633228390997829
S11,5,80.2149426987335,44,0,1.10081977300069
S11,4,69.8124291010485,45,0,0.652645681002468
S11,4,69.8124291010485,46,0,1.44301137799994
S11,1,46.0219657443318,47,0,0.586106916998688
S11,4,69.8124291010485,48,0,1.30905382000128
S11,5,80.2149426987335,49,0,0.690021574999264
S11,2,52.8795429782462,50,0,0.983002925000619
S11,2,52.8795429782462,51,0,0.742710030001035
S11,6,92.1674996131094,52,0,0.762049296001351
S11,7,105.901066548623,53,1,0.901096852998307
S11,2,52.8795429782462,54,0,0.510123054998985
S11,7,105.901066548623,55,1,1.91274408499885
S11,5,80.2149426987335,56,0,1.12902666399896
S11,5,80.2149426987335,57,0,0.833076159000484
S11,8,121.681025776038,58,1,1.0422097840019
S11,5,80.2149426987335,59,0,1.05878448899966
S11,3,60.7589445683897,60,0,0.718255168998439
S11,8,121.681025776038,61,1,1.28082191900103
S11,3,60.7589445683897,62,0,3.64755472999968
S11,9,139.812303279409,63,1,0.38901232599892
S11,3,60.7589445683897,64,0,0.594534746000136
S11,7,105.901066548623,65,1,1.00910076500077
S12,4,69.8124291010485,1,0,0.509499671999947
S12,5,80.2149426987335,2,0,0.435933218999708
S12,6,92.1674996131094,3,0,0.607459210001252
S12,3,60.7589445683897,4,0,0.622172472001694
S12,1,46.0219657443318,5,0,0.503325974998006
S12,6,92.1674996131094,6,0,0.679903669999476
S12,8,121.681025776038,7,1,0.55429021999953
S12,3,60.7589445683897,8,0,0.444935285999236
S12,5,80.2149426987335,9,0,0.471281482998165
S12,5,80.2149426987335,10,0,0.430577155999345
S12,4,69.8124291010485,11,0,0.528099095998186
S12,3,60.7589445683897,12,0,0.575430952998431
S12,3,60.7589445683897,13,0,0.399963425999886
S12,7,105.901066548623,14,0,0.917294663002394
S12,7,105.901066548623,15,0,0.669258117999561
S12,5,80.2149426987335,16,0,0.483581952001259
S12,7,105.901066548623,17,0,0.636606498999754
S12,3,60.7589445683897,18,0,0.506571132998943
S12,6,92.1674996131094,19,0,0.704889371001627
S12,5,80.2149426987335,20,0,0.495732678999047
S12,1,46.0219657443318,21,0,0.733063040999696
S12,7,105.901066548623,22,0,0.627928670000983
S12,2,52.8795429782462,23,0,0.525105751003139
S12,2,52.8795429782462,24,0,0.378880706000928
S12,9,139.812303279409,25,1,0.676251244000014
S12,9,139.812303279409,26,1,0.547892326001602
S12,5,80.2149426987335,27,0,0.588026598001306
S12,10,160.645261030852,28,1,0.603257471000688
S12,4,69.8124291010485,29,0,0.451845135998155
S12,4,69.8124291010485,30,0,0.460232666999218
S12,7,105.901066548623,31,0,0.439476640000066
S12,4,69.8124291010485,32,0,0.902887066000403
S12,8,121.681025776038,33,0,1.06147784600034
S12,4,69.8124291010485,34,0,0.458141114999307
S12,9,139.812303279409,35,0,0.907477216998814
S12,3,60.7589445683897,36,0,0.565481264002301
S12,8,121.681025776038,37,0,0.748071186997549
S12,6,92.1674996131094,38,0,0.506879972999741
S12,7,105.901066548623,39,0,0.438509117000649
S12,9,139.812303279409,40,0,1.88756679500148
S12,8,121.681025776038,41,0,1.52167287100019
S12,10,160.645261030852,42,1,0.716482851999899
S12,7,105.901066548623,43,0,0.561133735998737
S12,8,121.681025776038,44,0,0.785961834000773
S12,5,80.2149426987335,45,0,0.494108483999298
S12,3,60.7589445683897,46,0,0.423717200999818
S12,4,69.8124291010485,47,0,0.471843920000538
S12,6,92.1674996131094,48,0,0.530607517997851
S12,2,52.8795429782462,49,0,0.550510368997493
S12,8,121.681025776038,50,0,0.941040220001014
S12,1,46.0219657443318,51,0,0.638045518000581
S12,4,69.8124291010485,52,0,0.665090627997415
S12,2,52.8795429782462,53,0,0.779453341998305
S12,5,80.2149426987335,54,0,0.652925048998441
S12,8,121.681025776038,55,1,1.08353990200339
S12,8,121.681025776038,56,1,1.54654016099812
S12,7,105.901066548623,57,0,0.666522638999595
S12,6,92.1674996131094,58,0,0.578988158998982
S12,10,160.645261030852,59,1,1.28533039600006
S12,1,46.0219657443318,60,0,0.530667214999994
S12,3,60.7589445683897,61,0,0.545673169999645
S12,10,160.645261030852,62,1,0.613435710001795
S12,6,92.1674996131094,63,0,0.379317529997934
S12,6,92.1674996131094,64,0,0.370004349002556
S12,4,69.8124291010485,65,0,0.425452561001293
S13,3,60.7589445683897,1,0,1.07383359099913
S13,4,69.8124291010485,2,0,0.959420545998
S13,2,52.8795429782462,3,0,0.98405285699846
S13,10,160.645261030852,4,1,1.21215183700042
S13,9,139.812303279409,5,1,1.11944134700025
S13,6,92.1674996131094,6,1,1.93303476800065
S13,1,46.0219657443318,7,0,1.08010002500305
S13,5,80.2149426987335,8,0,1.30888417499955
S13,5,80.2149426987335,9,0,1.08398167499763
S13,7,105.901066548623,10,1,0.872697398001037
S13,6,92.1674996131094,11,1,1.74123968499771
S13,7,105.901066548623,12,1,1.04830445499829
S13,1,46.0219657443318,13,0,0.883090440998785
S13,3,60.7589445683897,14,0,0.864554198000405
S13,1,46.0219657443318,15,0,0.754083330000867
S13,8,121.681025776038,16,1,0.890914355997666
S13,5,80.2149426987335,17,0,1.01203232299667
