Subject,Condition,Block,Start,StairId,BranchStart,Trial,Distance,Response,Reversal,RT
S70,simple,3,far,1,far,17,220,1,6,0.587044380998123
S70,simple,3,far,1,far,18,210,0,7,0.58956566699635
S70,simple,3,far,1,far,19,220,0,0,0.350697704998311
S70,simple,3,far,1,far,20,220,0,0,0.541396688997338
S70,simple,3,far,1,far,21,220,0,0,0.451192011998501
S70,simple,3,far,1,far,22,220,0,0,0.644414517999394
S70,simple,3,far,1,far,23,220,1,8,0.529640876004123
S70,simple,3,far,1,far,24,210,0,9,0.433150008000666
S70,simple,3,far,1,far,25,220,0,0,0.644249472999945
S70,simple,3,far,1,far,26,220,1,10,0.576007401999959
S70,simple,3,far,1,far,27,210,0,11,0.449933527001122
S70,simple,3,far,1,far,28,220,1,12,0.319050038000569
S73,simple,1,near,1,near,1,20,0,0,0.795982583000068
S73,simple,1,near,1,near,2,40,0,0,0.768628676000162
S73,simple,1,near,1,near,3,60,0,0,0.760549339000136
S73,simple,1,near,1,near,4,80,0,0,0.671014473000014
S73,simple,1,near,1,near,5,100,0,0,0.688258285999837
S73,simple,1,near,1,near,6,120,0,0,0.786323077999896
S73,simple,1,near,1,near,7,140,0,0,1.89668517199993
S73,simple,1,near,1,near,8,160,0,0,1.76874701400016
S73,simple,1,near,1,near,9,180,1,1,1.2904040840001
S73,simple,1,near,1,near,10,160,1,0,1.75728440400007
S73,simple,1,near,1,near,11,140,0,2,1.04703834599991
S73,simple,1,near,1,near,12,160,0,0,2.46628697200003
S73,simple,1,near,1,near,13,170,0,0,2.90439643399986
S73,simple,1,near,1,near,14,180,1,3,1.86036452299982
S73,simple,1,near,1,near,15,170,0,4,2.79804661200001
S73,simple,1,near,1,near,16,180,1,5,1.205897306
S73,simple,1,near,1,near,17,170,0,6,1.13738971299995
S73,simple,1,near,1,near,18,180,0,0,0.979784237999866
S73,simple,1,near,1,near,19,190,0,0,1.41572159299994
S73,simple,1,near,1,near,20,200,1,7,1.17114494500015
S73,simple,1,near,1,near,21,190,0,8,1.70027105599979
S73,simple,1,near,1,near,22,200,0,0,1.25879104899991
S73,simple,1,near,1,near,23,210,0,0,2.32704138000008
S73,simple,1,near,1,near,24,220,1,9,3.98257353600002
S73,simple,1,near,1,near,25,210,0,10,0.56603735900012
S73,simple,1,near,1,near,26,220,0,0,1.76634857499994
S73,simple,1,near,1,near,27,220,0,0,1.13204927300012
S73,simple,1,near,1,near,28,220,1,11,2.77446301100008
S73,simple,1,near,1,near,29,210,0,12,3.020236995
S62,dual,2,near,1,near,1,20,0,0,0.697493392000069
S62,dual,2,near,1,near,2,40,0,0,0.7755260859999
S62,dual,2,near,1,near,3,60,0,0,1.01983256300036
S62,dual,2,near,1,near,4,80,0,0,0.836520367000048
S62,dual,2,near,1,near,5,100,0,0,0.78721976199995
S62,dual,2,near,1,near,6,120,0,0,0.830733650000184
S62,dual,2,near,1,near,7,140,0,0,1.82774568100012
S62,dual,2,near,1,near,8,160,0,0,0.957370591000199
S62,dual,2,near,1,near,9,180,0,0,0.78307621499971
S62,dual,2,near,1,near,10,200,0,0,1.32191703400031
S62,dual,2,near,1,near,11,220,1,1,0.708681373000218
S62,dual,2,near,1,near,12,200,0,2,0.991474819999894
S62,dual,2,near,1,near,13,220,1,3,1.04820826500008
S62,dual,2,near,1,near,14,210,0,4,1.85723048999989
S62,dual,2,near,1,near,15,220,0,0,0.81519119099994
S62,dual,2,near,1,near,16,220,1,5,2.19943477100014
S62,dual,2,near,1,near,17,210,1,0,2.12908806299993
S62,dual,2,near,1,near,18,200,0,6,0.732630793000226
S62,dual,2,near,1,near,19,210,0,0,0.826080184000148
S62,dual,2,near,1,near,20,220,1,7,0.852214302999982
S62,dual,2,near,1,near,21,210,1,0,0.736450821999824
S62,dual,2,near,1,near,22,200,0,8,0.730595324000205
